score,content,at,thumbsUpCount,reviewCreatedVersion
1,"1)Cannot show unsynchronized folder in feed. Please provide option for select which 'DCIM' subfolders can be opted out of sync(no change for years) 2) very long of time displays popups like ""moved to trash"" its hide content and not dismissable 3) when story sound disabled. it again play on next time with disabled button. bug several years and not fixed yet",2026-09-20 17:16:49,5,7.92.0.980155911
1,zero stars. update doesn't download.,2026-09-20 10:53:43,1,7.92.0.980155911
4,ok🆗👌 na use it of tm hemaOur ultimate inspiration finally Our ultimate inspiration finally reached to his destination keep shining commander to his destination keep shining commander year ol uk,2026-09-20 10:08:11,0,7.69.0.890655694
2,Since the recent update the Erase feature no longer works and the AI Enhance works intermittently. This software is becoming useless.,2026-09-20 08:23:21,0,7.92.0.981913704
1,"my phone has been constantly hacked for a full year now 6 phones layer and.tjos.plhome.is hacked.also. ,not 1 month using it .now I have smash it and go buy. another one. also my emails are hacked fix this shot already",2026-09-20 04:37:37,0,7.89.0.968035987
1,it's always telling me to update and spam notifications,2026-09-20 00:47:00,0,7.63.0.869312946
5,"I lost my old phone and was really worried about all the photos saved on it. Thank God, I found all my precious photos safely backed up in Google Photos. I’m so grateful.❤️",2026-09-19 18:56:50,0,7.92.0.980155911
5,"Google photos has gotten much better. And now with Samsung on board keeping Samsung Galaxy photos & videos backed up, I'm loving the more & more. Continue with the awesome updates & see you soon...",2026-09-19 18:11:23,1132,7.93.0.982110057
5,"I find the structured layout, editing tools, and Ask photos helpful. I also am liking the photo & video remix features.",2026-09-19 17:53:37,0,7.93.0.982110057
1,"1-Google Photos site & app both unhelpful. No option to stop videe auto play 2-If you download photo (which is a zip file) to manage storage there is no option of of smart download. If I download 120MB & 99MB has been downloaded & progress gets interrupted then it starts from 0MB. Huge data waste. 3-Transferring screenshots to another phone changes original date & time 4-Size of photo visible in 1 decimal 5.7MB, 6.8MB, etc. Not helpful. I need 2 decimal 5.75MB, 6.83MB, etc. Need KB view too.",2026-09-19 15:49:08,10,7.92.0.980155911
1,"Terrible App, always wants me to BackUp from every device so hard. Stop it Google, NO will never mean yes! Stop promoting me to update the app every time! ! !",2026-09-19 14:02:16,2,7.92.0.980155911
5,"brilliant app I've been using this app for years and I I've installed it on every mobile I've had, it's worth all of 5 stars.",2026-09-19 13:58:29,0,6.95.0.663027175
5,"Google Photos is a convenient and reliable app for storing, organizing, and managing photos and videos. I really like the automatic backup, smart search, albums, and easy sharing features. The ability to search for specific people, places, or things makes finding old photos much easier. I also enjoy the editing tools, memories, and helpful suggestions for creating collages and other photo creations. Overall, Google Photos makes it easy to keep precious memories organized and backed up.",2026-09-19 13:47:31,0,7.92.0.980155911
4,"Comparing to Flickr the upload and organization feature is better. Loved the mini AI tool - the Assistant of suggesting artifacts. Liked the app and love to have more better UX in next releases, though it's still a good one. +1 BTW, would love to have the feature: Local photo vs. Synced photo filter will let us easily distinguish the non-synced items, instead searching through all the mess.",2026-09-19 04:32:08,41,7.92.0.980155911
1,I keep trying to update and it keeps popping up and off 😞😢,2026-09-19 03:23:09,0,7.91.0.973540846
5,good 👍 edit : I can't find the photo to video thing and I really liked it so If you can add it back I will definitely put more stars but for now only 2. edit: ok this is sooo much better,2026-09-19 03:09:08,0,7.92.0.980155911
5,can you please update photo editing,2026-09-18 23:44:47,0,7.91.0.978065458
1,where is my photos!!!,2026-09-18 22:48:39,1,7.92.0.980155911
3,update nahi ho raha hai,2026-09-18 22:12:47,0,7.83.0.943371825
5,Very very best and photo update this absolutely Google photos veri nice,2026-09-18 21:44:01,0,7.86.0.956040398
3,like using the app but the constant nagging to use their back up service gets old and always comes back after an update. No means No!,2026-09-18 20:31:03,0,7.91.0.973540846
1,bad updates. puts captions on photos and adds music that's wild to it. why ?? the photo is of my brother and I and captions put on it whats for dinner. my brother is passed away almost 5 years now. so why mess it up poor taste donot recommend this .,2026-09-18 18:30:58,1,7.92.0.980155911
5,"Serves as a top-tier digital archive and secondary media backup solution.Its facial recognition,contextual search and automated cloud sync options simplify photo management,making image retrieval effortless.",2026-09-18 17:56:22,1,7.92.0.981913704
5,Remember,2026-09-18 16:13:31,0,7.92.0.980155911
5,my google account find out,2026-09-18 12:39:46,0,7.92.0.980155911
3,"Handy to have but it also pays to have more than one form of backup. The ads you see claiming to retrieve deleted files or pictures don't work, you can't do it with this app either",2026-09-18 12:36:36,5,7.92.0.980155911
5,They added search to the Add To Album popup! Someone *is* reading all those feedbacks I send!!! Easy backup of photos and videos. Nice interface for browsing photos and videos.,2026-09-18 11:09:10,1,7.93.0.982110057
5,"The Gallery app makes it easy to view, organize, and manage photos and videos. Its simple layout makes finding media convenient.",2026-09-18 10:57:05,0,7.92.0.980155911
1,"sharing photos to Gemini or Signal or other app doesn't work - literally nothing happens. Search is useless - it doesn't come up with anything on first attempt, sometimes never",2026-09-18 05:46:04,2,7.92.0.980155911
2,Where are my missing album pictures that I uploaded from my Galaxy phone !Still missing!!! Also all the pictures I purchased from you in your photo book Gone! Titled albums do me no good when my pictures I had in them are missing!! Hope they find my photos or I will never use this again! It's been months now !,2026-09-18 04:22:51,47,7.93.0.982110057
1,I am just wanting to get my photos back that you stole from me. I just want to take pictures from my celll and put them on my computer not have to chase them down and pay a reasom to get them back. Also how do i go to cloud to manage my pictures to begin with where is the how to to do that. I paid the .99 for several months thinking i was paying and keeping it where i could use it but didn't know it was going in yur pocket.,2026-09-18 01:22:34,1,7.92.0.980155911
5,tum mere ID Ko sab kuchh ko samajh ke rakhna app vagaira Jo setting sabhal ke rakhna update karna update karna tumhara kam hai Sambhal ke rakhna,2026-09-18 01:14:13,0,7.87.0.957333026
1,"I'm a long time, heavy user of Google Photos & an Alphabet stockholder. Until yesterday Photos took <1 second to delete photos. Last night I downloaded the latest update. Now it takes 20 seconds per photo. Will Google ever learn to not screw up something that is working perfectly well, i.e. your Search! IF IT AIN'T BROKEN, DON'T ""FIX"" IT. What is wrong with y'all??",2026-09-17 23:20:14,88,7.92.0.981913704
5,just second! i need to thank you for helping me these last 4 years! I greatly appreciate you a lot! you have no idea!!!,2026-09-17 21:56:11,0,7.91.0.973540846
1,"Why did you remove grid view?! There are so many things going wrong with this app in the last couple of years. 'Improvements' seem to cater to mindless users who want less choices. I'll be migrating my entire library and leaving gphotos at long last. Idk why I'm even leaving a review... like Google is gonna magically go, 'Wait! We care and will make it right immediately'. How far we have fallen from, ""Don't be evil"".",2026-09-17 21:01:27,3,7.92.0.981913704
2,I can't seem to find all my photos,2026-09-17 19:46:19,1,7.91.0.973540846
1,The latest update is horrible. Photos used to have the most amazing AI search. The search in this version is HORRIBLE. You keep becoming more like Apple and iPhone every day,2026-09-17 19:36:53,0,7.92.0.980155911
4,KINDLY TAKE OFF : SAVE COPY. It's cluttering and placing pics in the beginning. I need easy organization to be able to go back to finding and making videos. Thank you,2026-09-17 19:16:50,0,7.92.0.980155911
1,"Latest update applied (9/17/2026) has corrupted my SD card in my Android phone. All was working fine until the update was installed today. Opening Google Photos caused my SD card images to be resorted, then disappeared, and apparently unmounted the SD card. Both Android & Google Photos want to format the SD card when the ""fix"" prompt is clicked. Avoid the update until the bug is corrected in the next build release.",2026-09-17 18:06:12,1,7.92.0.980155911
5,Update all vedios and photo provide photo in google,2026-09-17 16:14:45,0,5.78.0.428376309
1,"Google Photos is one of the most poorly designed apps that I've ever used. The search feature is very inaccurate, and you'll get a migraine before you locate what you're looking for through visual inspection.",2026-09-17 14:26:31,0,7.92.0.980155911
5,Need to retrieve my photos after reset cell phone...kept backups,2026-09-17 14:00:32,1,7.59.0.856624550
1,"Latest Update Broke App. It has a GUI interface rendering bug that makes text in app's menus display a 'double vidion' blurry effect that jitters. Way to go, Google, breaking an app that did not need fixing!",2026-09-17 10:23:11,1,7.93.0.982110057
1,"This was the gold standard for the better part of a decade but as with all things Google it's been getting worse and worse the last few years, especially as they try to shoehorn more AI into it. Search is somehow worse now, and I don't like that my Google drive just got upgraded to an AI plan without my consent. I'm currently backing everything up to migrate to something else so I can cancel my Google drive subscription.",2026-09-17 09:59:25,1,7.92.0.980155911
1,The layout of this app keeps changing! Go back to the original layout before you made these ridiculous new updates these last few months! it's pissing me and everyone I know off.,2026-09-17 08:59:11,1,7.92.0.980155911
1,Too many updates,2026-09-17 07:40:26,0,7.82.0.937646388
1,notifications OFF . you talk way to much... application update No good.,2026-09-17 04:01:35,1,7.92.0.980155911
4,Always telling me to update anytime I open the app,2026-09-17 03:24:59,1,
5,it would be ok if it stopped taking money from my bank account I put money in turn around and Google's got it also I've lost my photos don't know how to retrieve them,2026-09-17 02:36:32,0,7.90.0.971743778
5,its really a fantastic app. I can retrieve my long time backed up photos,2026-09-17 02:01:52,2,7.18.0.729565054
1,I've been getting notifications that my storage is full and will no longer get emails. The graphics show it was Google Photos taking up the majority of the storage. I deleted the Google Photos app and it stl showed no available storage and I still won't get emails. I still got the threats and it showed it was Google photos taking up space. Wth? Today I was asked to update the app! I deleted it twice already. I'm using Gallery only and they're still threatening to block emails again.,2026-09-17 00:51:16,60,7.87.0.962249947
5,"Well this is a wonderful app to have, but make sure you have it in your cloud backup, keep it on. I almost lost everything if I wouldn't have done that😐",2026-09-17 00:28:52,1,7.91.0.973540846
5,like photo gallery. I am enjoying. I be back. I like. use it. I am kind on here update it. in. I know. how update. in. use good. I really like Google I give five star,2026-09-16 22:03:44,0,7.82.0.937646388
1,"besides seeing pictures I haven't seen in years,(and didn't want to) today I can't even get into my photos, it keeps telling me to give Google permission to access my photos? I have done that....4'x's NOW, I don't know what else to do so I'm just hanging it up for the day can we uninstall updates?",2026-09-16 22:00:48,1,7.92.0.980155911
5,love this lost pics and located most,2026-09-16 21:24:24,0,7.92.0.980155911
1,"Google has had issues with properly syncing photos to the app for years and has done absolutely nothing to address it. all photos in albums are out of order regardless of date taken/Metadata in the app, even though desktop has correct order. nothing can be done to force a resort, even some of the online tips that used to work no longer do, as if Google ""fixed"" being able to fix their glitch and is forcing people to have random sort pushed on them hoping to shove people over to Apple devices.",2026-09-16 19:50:12,1,7.92.0.980155911
1,annoying update and backup pop ups,2026-09-16 16:02:57,0,7.79.1.929394759
3,"As a photo storage app, it's fine. However if you want it for the editing element then I would look elsewhere. i rarely find it works effectively, such as removing unwanted items in a picture, which it seems incapable of doing no matter how many times you try.",2026-09-16 15:18:11,1,7.91.0.973540846
1,seems like there's updates daily. job security I suppose,2026-09-16 12:57:50,0,7.92.0.980155911
1,"at some point this year google removed like half of their features, replaced them with ai or they dont exist anymore, and the app runs slower. all you have done is worsen this app. let me frame and warp my photos like I used to back in february. so frustrating edit: still not added 9 months later",2026-09-16 11:56:21,3,7.91.0.973540846
2,Please make it so that we can delete all backup photos from the cloud storage ONLY on mobile. Because all these old photos are just trash and I want to choose myself which one to backup. And deleting everything in the cloud from web (Where we can't even edit it to yearly view) is VERY INEFFICIENT. 4 years of trash to delete and I can't do it in 1 go 😭,2026-09-16 10:45:01,0,
3,"this app worked great until recently. now anytime I crop or edit a picture in anyway, it no longer shows up on my camera, recent photos, or any other album in other apps to post. I thought it was a Facebook issue but as it turns out the photos no longer show up on fb, Lightroom, Vinted, eBay, etc. which is pretty inconvenient if you want to post something. none of the recent updates have fixed this issue. before it was a 5/5 now it's a 3/5 please fix this bug!",2026-09-16 08:51:07,2,7.92.0.980155911
5,keeps me updated on my photos,2026-09-16 08:45:18,1,7.92.0.980155911
3,always make update i don't know what happened always update,2026-09-16 08:23:29,0,7.91.0.973540846
5,"The best fricking photos app in the milkyway galaxy s2000 ultra pro. My cousin deleted all of my memories of me and my brotha going hiking on a mountain. Just becuz he can download a stupid game. Then I didnt have this. I mean this comes predownloaded but I disabled it for some reason. But after 3 years later, I came accross a random reel showing this app. Then I enabled it and updated it. BOOOM. All my photos that I thought were gone are now right in my face. THIS DESERVES ATLEAST 10 STARS.",2026-09-16 08:06:04,0,5.78.0.428376309
3,"why did you have to screw up the magic eraser? there were many features that were great and you add them in and then take them away guess it depends on which Android model you have like if you have the pixel or if you have the $30 Motorola from Walmart yeah, kind of makes sense, but also it really doesn't. does anyone remember when they had the change your text into Old English and other fun things yeah what happened to that come on now Google",2026-09-16 07:48:56,0,7.13.0.716414472
1,the last update broke the app the app used to let me download images off of Google but now every time I try to download a image off of Google or another website it just a blank white image 🙄,2026-09-16 07:14:26,1,7.92.0.977185651
5,have been with Google photofor over 10 yearswonderfulI know your generosity and very successfulI,2026-09-16 06:33:44,0,7.82.0.937646388
1,YOU CAN'T KEEP SPAMMING US WITH UPDATES FOR EVERY LITTLE TWEAK! 🤨🤔😡,2026-09-16 01:52:39,1,7.91.0.973540846
2,"Not intuitive for digital art, which most of my pictures are. The Memories and Face Recognition and such only pay attention to the (very few) actual photos and thus are not helpful. AI tools are trash. If this app wasn't conveniently synced to my Google account I would uninstall and find something else. Also, make the ""folders"" button easier to get to, and then STOP MOVING IT AROUND! And stop rearranging the order of the *comic panels* in my *album*.",2026-09-16 00:52:25,4,7.92.0.980155911
2,The image search feature has actually gotten worse.,2026-09-16 00:31:52,0,7.92.0.980155911
5,Very loving towards family and kind.But Im being intimidated by google to buy storage.Please stop !,2026-09-16 00:25:47,0,7.91.0.973540846
1,"Google is the best! They have kept all of my pictures for 10 + years. Gemini is also great. without details, I have saved important papers, and taught some important information so I don't erase it. great patient accurate 👍😀",2026-09-15 23:26:47,1,6.65.0.595576881
5,After taking pictures on phones in previous years and all were gone if the phones were lost and damaged or had to store them on computers that were obsolete. this was a dream come true. Thank you Google.,2026-09-15 23:21:04,0,7.91.0.973540846
5,This comes up every time I open my Google Photos app. (App Error Detection showed that Photos crashed for its own reasons. You can check whether the app is up to date or submit feedback through in-app customer service or other channels.),2026-09-15 18:42:19,0,7.91.0.973540846
1,"You have a ""prompt to update"" bug",2026-09-15 17:41:21,0,7.91.0.978065458
5,Appdates my photos in Google.,2026-09-15 16:50:34,0,7.85.0.954843883
2,Doesn't update this app,2026-09-15 15:34:28,0,7.82.0.937646388
5,my main lifeline I would be lost without it.,2026-09-15 12:30:55,0,7.91.0.973540846
1,"You can no longer search your photos without turning on Backup. Time for a new App, goodbye Photos. Update: Google Dark Patterns and Prevent Uninstallation. Actually Photos pretends you can uninstall it, but it just hides, uploading all your data to the cloud against your will. I smell a class action lawsuit brewing..",2026-09-15 10:32:06,1,7.91.0.978065458
5,for many long years ago I getting my old version photo i keep on my gmail account I really thanks this Google photos 😊☺ I give out of 5 star ⭐,2026-09-15 10:12:56,0,7.88.0.966185373
1,Update Sept/14/2026 the endless you have an update notice with no actual update is back.,2026-09-15 10:12:54,0,7.91.0.973540846
1,"Update: Google my Creepy Voyeristic neightbor. I used to tollerate this app, my fiance and I have disabled all AI suggestions and asked google not to look through our photos and suggest AI slop. But now my fiance opened her photos app and GOOGLE LOOKED AT ALL THE CLOTHS MY FIANCE WEARS in her photos and created a ""wardrobe"" for her. NOT COOL, VERY CREEPY! If this happend in person I would report them to the police for stalking!",2026-09-15 08:28:16,800,7.91.0.973540846
1,"2026 Edit: The search feature has turned to trash. Stop making your apps worse. Google Photos, Google Maps—both were way better, now I'm leaving for competitors.…………………………………….….……… 2023 Edit: Latest update ruined the editing options.",2026-09-15 08:02:15,10,7.92.0.977185651
1,Search is absolutely worthless.,2026-09-15 07:48:57,0,7.92.0.977185651
1,"Needs to stop suggesting downloaded wallpaper is memories. No way to stop this without disabling legit memories too. Response to dev: Nope. Disabling featured memories doesn't work. That disables featured memories, which I don't want to do. I love getting those. You need to fix the app to stop recommending things that obviously aren't memories, like wallpaper. Wallpaper should not come up ever for featured memories. Update: feature is still broken and developer has been most unhelpful. still bad",2026-09-15 05:14:12,22,7.91.0.973540846
1,"just leave it alone already. key moments, sticker suggestions, random photos bigger in the grid, notifications. like, dude, this is a photo gallery. not social media. store the photos, display the photos, and then leave me alone. look, go ahead, try stuff out, whatever. at least give me a toggle so i can turn this nonsense off. you harvest every byte of data from every human life and NONE of it shows that you guys are ruining things? seriously, just stop. it was fine as it was YEARS ago.",2026-09-15 03:29:24,2,7.91.0.973540846
1,"Somehow you guys decided to purge my whole 2020 year of pictures and videos, I tried to stop it and my screen went black. And all my videos are gone now and pictures, I called after them to put it back on my system, and I still don't have them. So you've also entire year of my life just dumped it like it was trash and it's not even in the trash bin for photos. you suck",2026-09-15 03:03:04,1,7.86.0.956040398
2,"I used to love Google photos but now thinking of moving to iOS thanks to the latest update that doesn't let you have a 4 across grid anymore. Instead the only options are 3 or 5 across and random photos are massive, disrupting the basic grid and making it difficult to select photos in a chronological order. Just a small change that renders the whole app really annoying to use.",2026-09-15 02:22:44,2,7.91.0.973540846
1,I can't label my face or search for it,2026-09-15 01:36:34,0,7.91.0.973540846
1,this update is not user friendly. no choice about version control. all month photo together. i will make best platform for your photos,2026-09-15 01:19:05,1,7.91.0.973540846
3,Been using this app for some years now but lately its becoming less and less useful. Can't share a photo directly to any apps from within Google Photos. I have to go to the app I want and then pick up the photo from Google Photos that way.,2026-09-14 23:34:43,3,7.91.0.973540846
3,Lost my favorite photos tag when backing up to a new device...,2026-09-14 21:12:42,0,7.91.0.973540846
2,"4kg the same as the one who has been sent to the one that I am the only one that I have to the same to you too dear the one who is the same to you too dear the same to the same person who is the one who is 5 to i I u can be in touch room rent up front end year ago reply to your account can and ru doing that and then we jha hv, also knn be hmmm ok same person to your site's WordPress administration panel to your account can and will be in touch with you too dear to your account can and",2026-09-14 19:53:17,0,7.89.0.968035987
3,"The same ""what's new"" description with every update for years now. Recently pleasant music for memories has been replaced with rubbish songs.",2026-09-14 17:14:40,9,7.91.0.973540846
5,not update,2026-09-14 15:31:13,0,7.83.0.943371825
5,it is the worst update .,2026-09-14 12:41:42,0,7.78.0.920664585
5,all my photos are easyvto find...,2026-09-14 11:48:45,0,7.92.0.977185651
5,The interface is so nice and clean! Old photos are easy to find and the albums are very organized,2026-09-14 11:30:16,0,7.91.0.973540846
2,Recently updated Google photos and now printing pictures became a nightmare. Now pictures are being printed by Fujifilm and no in-store pick up. Can not believe the service took 360 for the worse,2026-09-14 04:48:43,1,7.91.0.973540846
1,"Just call yourself Skynet already. Experts give us ten years tops, and my only joy is knowing you'll go down with us.",2026-09-14 03:02:47,1,7.91.0.973540846
5,update photo,2026-09-14 01:05:02,0,7.84.0.949657053
3,This is a platform that isn't cyber bully safe I can reassure you that and the developer have ignored complaints while having being victim where serval of my personal pic and ect !where some how changed until encrypted failed came to make my account safer while wealthy folks continue to be comfortable Being some looked as less then I collect items to survive five years hurt having my accounts froze while my life is vandalized,2026-09-14 00:40:15,0,7.59.0.856624550
5,UPDATE,2026-09-13 22:24:03,0,7.92.0.977185651
1,"What kind of situation is this?! You release a 97MB update every week, yet there are no visible or noticeable changes for users! Stop it! Google Pixel 7, Android 17.",2026-09-13 21:53:08,1,7.90.0.971743778
2,"Lost my old photos, how to recover?",2026-09-13 20:03:02,0,7.91.0.973540846
2,"Update: Its been a year. The portrait blur was fixed for a while but now its a guessing game again. Please address this, so I dont have to look for a replacement. Since the update, Portrait Blur does not work correctly,HDR is missing, UI has too much backlash to set precisely.",2026-09-13 19:54:19,1,7.91.0.973540846
2,"i had no issues with this app until recently, this week to be precise, my entire WhatsApp images and WhatsApp videos files have disappeared. I searched the entire app there is no site of WhatsApp images and WhatsApp videos. how can I get them back",2026-09-13 19:26:52,0,7.91.0.973540846
3,update feature is missing,2026-09-13 18:59:02,0,7.85.0.952162352
5,now the only problems I found with this app whenever I wants to checking photos it obstruct me and brings label of update,2026-09-13 17:38:52,0,4.5.0.220874418
3,"Another Google app that's becoming more and more infuriatingly unusable by the day. I love the Gemini app itself and I pay an additional fee for it, but when integrated into other Google Apps such as photos it just plain sucks. 😢 in particular search functions now terrible I can't find any photos of looking for and most of the time the deletion and creation of new photos are impossible to sync up between my iPad and my Google pixel phone. integrating Gemini into so many apps so fast seems to",2026-09-13 12:15:45,1,7.91.0.973540846
5,"I like this app, I try to update this but it doesn't change",2026-09-13 06:12:38,0,7.91.0.973540846
1,it's gotten worse and worse with every update. now it doesn't even load 90% of my photos. the editing tools get worse as Google tries to shove ai down our throats. switching photos apps.,2026-09-13 06:02:40,1,7.91.0.973540846
5,update,2026-09-13 04:38:40,0,7.39.0.787784983
1,"I already updated 2-3 times but same update is coming again and again. It will be better if the app. is ""Photos"", not ""Google Photos"".",2026-09-13 03:16:43,0,7.90.0.971743778
5,"Best app ever! 5 years now, and all my pictures, videos, and documents are still very safe.",2026-09-13 03:09:40,1,7.91.0.973540846
3,"When uploading photos into an album, there is no status update. Really need a status to let you know how the upload is progressing - trying to upload 400+ photos and I have no idea whether it is taking place.",2026-09-13 02:33:39,1,7.91.0.973540846
1,The new update is horrible. It makes editing any photo impossible,2026-09-13 01:31:09,1,7.92.0.977185651
5,nice but I advice u guys to send an updated version with move photos to album,2026-09-12 19:16:07,0,
1,forced updates to use a bloody picture gallery ! 👎👎👎👎👎👎👎👎,2026-09-12 19:11:15,0,
5,"Google Photos helps me find my photos of everything I've taken a picture of like my favorite main characters, wonderful places and more. 👍❤️💛💙",2026-09-12 16:41:55,2,7.91.0.973540846
1,please update Google photo update,2026-09-12 14:48:59,0,2.5.0.140879878
2,"Google photos used to be much better in past like 10 years ago in EU. It makes me really angry when I have my photos synchronized by default and Google keeps asking me to pay the money for a Google One instead of easily help me clean up the space. Even if I clean up the space i still have this reminder after a few weeks as I have 80% size taken by my Google apps, Mail, etc. Just like most free users I do not upgrade Google to Google one only for extra size",2026-09-12 13:29:15,1,7.91.0.973540846
2,"Why is there a shimmering white line around people? how do I get rid of it? extremely annoying. I'd like to uninstall updates, it used to be good. It got worse now it stacks my photos. I think I'll stop paying for it. I hate the highlights and memories.",2026-09-12 13:02:20,1,7.88.0.966819610
1,"MY PHOTOS ARE MISSING!!!! My old photos that were backed up and I could see earlier are missing now. I was deleting some of the old photos and realised a huge chunk of my old photos are missing. I don't know how to find them, there were some important, memorable photos in there and now they're gone. What am I supposed to do now? I want my old photos back.",2026-09-12 12:24:05,1,7.91.0.973540846
5,"Stores All the pictures you want to save, share , & watch any time in your life 🙏 😉 Happy 😊. Best App for all your personal life & pictures! I have saved pictures from my school time to till time too ! And of my family & All Earlier Facebook accounts friends too! "" Received & Sent from last more than 15 years ❤️ 💕 ♥️ 💗 💓 💖 And from All social media to "" ! But some Managements were & are Bulsheet & some were & are Best 👌 too . Enjoy 😉 your OWN life as you wish 🤞! Bravo Google 👏 TRUTH",2026-09-12 12:18:44,19,7.91.0.973540846
1,even after backed up photos there are no chance to found same face person after search the name of person🥴😑,2026-09-12 11:47:47,0,7.89.0.968035987
1,i can't see my photos after new update,2026-09-12 11:29:14,0,7.91.0.973540846
1,i cant updated this apps,2026-09-12 10:52:02,0,7.88.0.966185373
1,Search function doesn't work without back up. I want to use the functions of my phone not some cloud service.,2026-09-12 10:26:14,0,7.90.0.971743778
3,"wht cant you sort the the album like type of file, date, name wise. Appreciate if it is possible",2026-09-12 09:16:36,0,7.90.0.971743778
5,my pictures always easy to find,2026-09-12 06:02:37,0,7.91.0.973540846
5,poruskhan5 update,2026-09-12 01:33:08,0,6.65.0.595576881
5,"Please bring back the face tracking/auto-zoom feature in Google Photos! On my Pixel 6, I could select a subject’s face in a video, and Google Photos would automatically zoom in and follow the face throughout a selected part of the video. I’m now using a Pixel 8 Pro, and I can’t find this feature anymore. It was incredibly useful. Please bring it back!",2026-09-12 01:13:20,2,7.91.0.973540846
2,"I used to love this app. So many options to edit my photos. The Magic tool is amazing. But over the last year or so, more and more often I edit a photo, save it and it ends up with lines across it or half the picture is purple or other ways it's ruined. I've submitted these issues multiple times over the last 6+ months but no one has ever responded about them.",2026-09-12 00:30:02,2,7.91.0.973540846
1,terrible upload speed. I've been using this app for over 10 years now but it becomes slower and slower with time,2026-09-11 23:39:14,0,7.91.0.973540846
